STATUS,CLK,DOUT,D0,D1,D2,D3,D4,D5,D6,D7,A0,t
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.156600
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.156700
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.156800
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.156900
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.157000
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.157100
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.157200
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.157300
1,0,0,0,0,1,1,0,0,1,1,-0.000964,0.157400
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.157500
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.157600
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.157700
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.157800
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.157900
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.158000
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.158100
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.158200
1,0,0,0,0,1,1,0,0,1,1,-0.000964,0.158300
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.158400
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.158500
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.158600
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.158700
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.158800
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.158900
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.159000
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.159100
1,0,0,0,0,1,1,0,0,1,1,-0.000964,0.159200
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.159300
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.159400
